Rol,Caratulado,Fecha Sentencia,Materia,Submateria,Descriptores,Sala,Resultado Recurso,Tipo Recurso,Enlace Sentencia
Rol: 91629-2021,Caratulado: INVERSIONES GNL TALCAHUANO SPA CON ASOCIACION GREMIAL CAMARA DE COMERCIO DE PENCO *,Fecha sentencia: 11-01-2023,Sistema de Evaluación de impacto ambiental (SEIA),Invalidación,"Derecho a vivir en un medio ambiente libre de contaminación, Derechos adquiridos, Principio de conservación, Principio de trascendencia, Principio preventivo, Ultra petita, Principio de confianza legítima, Principio de la buena fe, Principio de seguridad jurídica, Silencio positivo, Invalidación del acto administrativo, Argumentos no configuran la causal invocada, Petición subsidiaria, Principio precautorio, Sistema de Evaluación de Impacto Ambiental (SEIA), Área de influencia, Participación ciudadana, Tercero independiente, Supletoriedad de la ley de bases de los procedimientos administrativos, Reclamación en contra de una invalidación ambiental, Invalidación, Decaimiento administrativo, Modalidad casa abierta","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADAS CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b2rpx
Rol: 10964-2022,Caratulado: INVERSIONES FK LIMITADA (TERCER TRIBUNAL AMBIENTAL DE VALDIVIA),Fecha sentencia: 05-01-2023,Acto administrativo,Motivación,"Acto administrativo, Concejo municipal, Instrumento de planificación territorial, Recurso de reclamación, Plan regulador comunal, Ministerio del Medio Ambiente (MMA), Medida para mejor resolver, Motivación de los actos administrativos, Tribunal Ambiental, Ilustre Municipalidad de Puerto Varas, Humedal urbano, Ausencia de falta o abuso grave al dictar sentencia, Inspección personal del tribunal, Legalidad, Motivación, Reconocimiento de calidad de humedal urbano, Recurso de reclamación contra resolución que reconoce calidad de humedal urbano, Acuerdos adoptados por tribunales colegiados","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADO RECURSO DE QUEJA,Tipo recurso: (CIVIL) QUEJA,https://juris.pjud.cl/busqueda/u?b2sq3
Rol: 160774-2022,Caratulado: FISCO DE CHILE- C.D.E/SEGUNDO TRIBUNAL AMBIENTAL,Fecha sentencia: 29-12-2022,Admisibilidad del recurso de queja,Resoluciones susceptibles de recurso de queja,"Fisco de Chile, Recurso de reclamación, Admisibilidad del recurso de queja, Naturaleza jurídica de la resolución impugnada, Segundo Tribunal Ambiental, Resolución no pone término al juicio ni hace imposible su continuación, Resoluciones susceptibles del recurso de queja, Solicitud de inscripción de humedal","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLE RECURSO DE QUEJA,Tipo recurso: (CIVIL) QUEJA,https://juris.pjud.cl/busqueda/u?b2z41
Rol: 66086-2021,Caratulado: SOCIEDAD AGRICOLA COMERCIAL E INDUSTRIAL URCELAY HERMANOS LIMITADA CON SUPERINTENDENCIA DEL MEDIO AMBIENTE. (A),Fecha sentencia: 29-12-2022,Potestad sancionadora y fiscalizadora,Multa,"Beneficio económico, Multa, Principio de reserva legal, Tipicidad, Derecho administrativo sancionador, Núcleo esencial de la conducta sancionada, Prinicipio de legalidad, Rebaja de multa, Resolución de Calificación Ambiental (RCA), Potestad punitiva del Estado, Reclamación en contra de una resolución de la SMA, Potestad sancionadora y fiscalizadora, Residuos industriales líquidos, Sentencia de reemplazo, Capacidad de pago","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b2jlf
Rol: 66086-2021,Caratulado: SOCIEDAD AGRICOLA COMERCIAL E INDUSTRIAL URCELAY HERMANOS LIMITADA CON SUPERINTENDENCIA DEL MEDIO AMBIENTE. (A),Fecha sentencia: 29-12-2022,Potestad sancionadora y fiscalizadora,Multa,"Beneficio económico, Multa, Potestad sancionatoria, Facultad discrecional, Resolución de Calificación Ambiental (RCA), Falta de motivación, Elusión del Sistema de Evaluación de Impacto Ambiental, Reclamación en contra de una resolución de la SMA, Potestad sancionadora y fiscalizadora, Hechos establecidos por los jueces del fondo son inamovibles, Facultad de interpretar, Residuos industriales líquidos, Planta de tratamiento de residuos líquidos industriales, No se denuncia o verifica infracción a normas reguladoras de la prueba, Producción y elaboración de vinos","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: ACOGIDA CASACIÓN FONDO, ANULADA SENTENCIA",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b2jgg
Rol: 14448-2022,Caratulado: SERVICIO DE EVALUACIÓN AMBIENTAL REGIÓN DEL BIO BIO/I. MUNICIPALIDAD DE PUCÓN,Fecha sentencia: 26-12-2022,Admisibilidad del recurso de casación en el fondo,Manifiesta falta de fundamentos,"Examen de admisibilidad del recurso de casación en el fondo, Inadmisibilidad del recurso de casación en la forma, Admisibilidad del recurso de casación en la forma, Ilustre Municipalidad de Pucón, Rechazo por manifiesta falta de fundamento, Argumentos no configuran la causal invocada, Tribunal Ambiental, Acción de reclamación, Revisión de la Resolución de calificación ambiental (RCA), Servicio de Evaluación Ambiental de la Región de La Araucanía, Consideraciones contradictorias, Ausencia de consideraciones de hecho y de derecho, No se denuncia o verifica infracción a normas reguladoras de la prueba","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: INADMISIBLE CASACIÓN FORMA RECHAZADA, CASACIÓN FONDO",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b2i2t
Rol: 46932-2022,Caratulado: PRADO/SERVICIO DE EVALUACIÓN AMBIENTAL REGIÓN DEL BIO BIO,Fecha sentencia: 26-12-2022,"Resoluciones judiciales, actuaciones de Auxiliares de la Administración de Justicia, del Ministerio Público y otros",Resoluciones de tribunales de justicia,"Admisibilidad del recurso de queja, Tribunal Ambiental, Inadmisible, Modificación de medida cautelar","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLE RECURSO DE QUEJA,Tipo recurso: (CIVIL) QUEJA,https://juris.pjud.cl/busqueda/u?b2z42
Rol: 56030-2021,Caratulado: ILUSTRE MUNICIPALIDAD DE BUIN CON SUPERINTENDENCIA DEL MEDIO AMBIENTE.,Fecha sentencia: 23-12-2022,Potestad sancionadora,Legalidad,"Potestad sancionadora, Principio de proporcionalidad, Importancia del daño causado, Ilustre Municipalidad de Buin, Emisión de ruidos, Norma de ruido, Niveles máximos de ruidos, Principio de no contradicción, Vulneración de los principios de la sana crítica, Superintendencia del Medio Ambiente, Reclamación de multa administrativa, Legalidad, Acoge recurso de casación en la forma","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: ACOGIDA CASACIÓN FORMA, ANULADA SENTENCIA",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b2jgk
Rol: 56030-2021,Caratulado: ILUSTRE MUNICIPALIDAD DE BUIN CON SUPERINTENDENCIA DEL MEDIO AMBIENTE.,Fecha sentencia: 23-12-2022,Potestad sancionadora,Legalidad,"Potestad sancionadora, Importancia del daño causado, Ilustre Municipalidad de Buin, Emisión de ruidos, Norma de ruido, Niveles máximos de ruidos, Superintendencia del Medio Ambiente, Reclamación de multa administrativa, Legalidad, Riesgo o peligro inminente para la salud de la población","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b2jgi
Rol: 24812-2020,Caratulado: CELULOSA ARAUCO Y CONSTITUCION S.A. CON SUPERINTENDENCIA DEL MEDIO AMBIENTE (A),Fecha sentencia: 13-12-2022,Potestad sancionadora y fiscalizadora,Multa,"Principio de congruencia, Ultra petita, Superintendencia del medio ambiente (sma), Delegación de facultades, Debido proceso administrativo sancionador, Sanción de multa, Intencionalidad en la comisión, Celulosa Arauco, Potestad sancionadora y fiscalizadora, Hechos establecidos por los jueces del fondo son inamovibles, Congruencia procesal, Carencia de influencia en lo dispositivo del fallo, Recurso construido contra los hechos del proceso, Apreciación de la prueba conforme a la sana crítica, No denuncia el quebrantamiento o desatención de concreta regla de la sana crítica","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADAS CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?dfddd
Rol: 14568-2021,Caratulado: FUNDACIÓN ROMPIENTES CON SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 25-11-2022,Sistema de Evaluación de impacto ambiental (SEIA),Ingreso al sistema de evaluación de impacto ambiental (seia),"Abastecimiento de agua potable, Evaluación ambiental estratégica, Superintendencia del medio ambiente (sma), Aplicación de multa, Reclamación, Daño ambiental, Resolución de Calificación Ambiental (RCA), Facultades de la superintendencia del medio ambiente, Ingreso al Sistema de Evaluación de Impacto Ambiental (SEIA), Evaluación Ambiental Estratégica (EAE), Agua subterránea, Componente ambiental afectado, Superintendencia de medio ambiente (sma), Humedal topocalma","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b2rr5
Rol: 14568-2021,Caratulado: FUNDACIÓN ROMPIENTES CON SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 25-11-2022,Sistema de Evaluación de impacto ambiental (SEIA),Ingreso al sistema de evaluación de impacto ambiental (seia),"Procedimiento administrativo sancionador, Abastecimiento de agua potable, Evaluación ambiental estratégica, Superintendencia del medio ambiente (sma), Inmobiliaria, Daño ambiental, Facultades de la superintendencia del medio ambiente, Planta de tratamiento de aguas, Evaluación Ambiental Estratégica (EAE), Agua subterránea, Componente ambiental afectado, Ingreso a Sistema de Evaluación de Impacto Ambiental (SEIA), Reclamación contra resolución administrativa, Superintendencia de medio ambiente (sma), Humedal topocalma","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADA CASACIÓN EN LA FORMA Y ACOGE CASACION FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b2i8v
Rol: 93528-2021,Caratulado: VENTURA CON MINERA LOS PELAMBRES .,Fecha sentencia: 14-11-2022,Potestad sancionadora y fiscalizadora,Acciones de fiscalización,"Acto administrativo ilegal, Archivo de la denuncia, Omisión de fiscalización, Superintendencia del medio ambiente (sma), Principio de celeridad, Principio de economía procedimental, Falta de fundamentación del acto administrativo, Aprobación de proyecto de construcción, Afectación de caudal, Disminución de caudal, Reclamación en contra de una resolución de la SMA, Acciones de fiscalización, Estero Pupío, Sentencia de reemplazo, Obligación de fiscalización","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b5kh7
Rol: 13923-2021,Caratulado: DIRECTOR EJECUTIVO DEL SERVICIO DE EVALUACIÓN AMBIENTAL CON GONZÁLEZ (A),Fecha sentencia: 14-11-2022,Sistema de Evaluación de impacto ambiental (SEIA),Participación ciudadana/consulta indígena,"Principio preventivo, Reglas de la sana crítica, Servicio de evaluación ambiental (SEA), Servicio Agrícola y Ganadero (SAG), Aves, Declaración de Impacto Ambiental (DIA), Ingreso al Sistema de Impacto Ambiental (SEIA), Reclamación de participación ciudadana en el SEIA, Tercer Tribunal Ambiental, Tercero Coadyuvante, Efecto sinérgico, Parque eólico, Fauna silvestre, Murciélagos, Infracción manifiesta de las normas sobre apreciación de la prueba","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADAS CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b5agn
Rol: 93528-2021,Caratulado: VENTURA CON MINERA LOS PELAMBRES .,Fecha sentencia: 14-11-2022,Potestad sancionadora y fiscalizadora,Acciones de fiscalización,"Archivo de la denuncia, Omisión de fiscalización, Superintendencia del medio ambiente (sma), Falta de fundamentación del acto administrativo, Deber de fiscalización, Afectación de caudal, Incumplimiento de resolución, Reclamación en contra de una resolución de la SMA, Acciones de fiscalización, Depósito de relaves, Estero Pupío, Minera Los Pelambres, Competencia superintendencia de medio ambiente (sma)","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: ACOGIDA CASACIÓN FONDO, ANULADA SENTENCIA",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?b49vn
Rol: 114682-2022,Caratulado: SERVICIO DE EVALUACIÓN AMBIENTAL REGIÓN DEL BIO BIO/RETAMAL,Fecha sentencia: 04-11-2022,Admisibilidad del recurso de queja,Resoluciones susceptibles de recurso de queja,"Recurso de reposición, Admisibilidad del recurso de queja, Servicio de Evaluación Ambiental, Resoluciones susceptibles del recurso de queja","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLE RECURSO DE QUEJA,Tipo recurso: (CIVIL) QUEJA,https://juris.pjud.cl/busqueda/u?b49dv
Rol: 71616-2021,"Caratulado: SOCIEDAD COMERCIAL, AGRICOLA Y FORESTAL NALCAHUE LTDA./LABRA",Fecha sentencia: 11-10-2022,Admisibilidad del recurso de casación en el fondo,Error de derecho/influencia sustancial,"Admisibilidad del recurso de casación en el fondo, Admisibilidad del recurso de casación en la forma, Error de derecho/Influencia sustancial, Declaración de Impacto Ambiental (DIA), Reclamación de participación ciudadana en el SEIA, Tercer Tribunal Ambiental, Vicio alegado no constituye causal de casación en la forma, Causales del recurso de casación en la forma, No se verifica error de derecho denunciado","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: INADMISIBLE CASACIÓN FORMA RECHAZADA, CASACIÓN FONDO",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?3rpu
Rol: 10572-2022,Caratulado: INGENIERIA Y CONSTRUCCIÓN OLIVARES Y UTJES SPA (INGECOU) CON SUPERINTENDENCIA DEL MEDIO AMBIENTE (A),Fecha sentencia: 26-09-2022,Potestad sancionadora y fiscalizadora,Multa,"Beneficio económico, Certificado de recepción definitiva, Programa de cumplimiento, Reclamacion de multa administrativa, Resolución de Calificación Ambiental (RCA), Ilustre Municipalidad de La Reina, Emisión de ruidos, Actividad fiscalizadora, Superintendencia de medio ambiente (sma)","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO (M),Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?3sxk
Rol: 10572-2022,Caratulado: INGENIERIA Y CONSTRUCCIÓN OLIVARES Y UTJES SPA (INGECOU) CON SUPERINTENDENCIA DEL MEDIO AMBIENTE (A),Fecha sentencia: 26-09-2022,Potestad sancionadora y fiscalizadora,Multa,"Certificado de recepción definitiva, Principio de congruencia, Programa de cumplimiento, Decaimiento del procedimiento administrativo sancionador, Ilustre Municipalidad de La Reina, Medidas de mitigación de impacto ambiental, Vicio de extra petita, Reclamación de multa administrativa, Superintendencia de medio ambiente (sma)","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: ACOGIDA CASACIÓN FORMA, ANULADA SENTENCIA DE (M)",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?3sxj
Rol: 112449-2020,Caratulado: PAINENAHUEL GARCES MIGUEL CON SERVICIO DE EVALUACION AMBIENTAL (A),Fecha sentencia: 31-08-2022,Sistema de Evaluación de impacto ambiental (SEIA),Invalidación,"Interés legítimo, Servicio de evaluación ambiental (SEA), Residuos sólidos, Avalúos de bienes raíces, Procedimiento de invalidación, Relleno sanitario, Zona de sacrificio, Primer tribunal ambiental, Reclamación en contra de una invalidación ambiental, Invalidación, Reclamación del artículo 17 n° 6 de la ley 20.600, Proyecto sustentable, Falla geológica activa","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: ACOGIDA CASACIÓN FONDO, ANULADA SENTENCIA",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?uel7
Rol: 112449-2020,Caratulado: PAINENAHUEL GARCES MIGUEL CON SERVICIO DE EVALUACION AMBIENTAL (A),Fecha sentencia: 31-08-2022,Sistema de Evaluación de impacto ambiental (SEIA),Invalidación,"Cumplimiento de requisitos legales, Servicio de evaluación ambiental (SEA), Ilegalidad del acto administrativo, Falta de fundamentación del acto administrativo, Información esencial, Declaración de Impacto Ambiental (DIA), Relleno sanitario, Riesgo sísmico, Reclamación en contra de una invalidación ambiental, Sentencia de reemplazo, Invalidación, Reclamación del artículo 17 n° 6 de la ley 20.600, Falla geológica activa","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?uel6
Rol: 69538-2021,Caratulado: CASTRO DOMINGUEZ MARIA BEATRIZ CON DIRECTOR EJECUTIVO DEL SERVICIO DE EVALUACIÓN AMBIENTAL. (A),Fecha sentencia: 22-08-2022,Sistema de Evaluación de impacto ambiental (SEIA),Resolución de calificación ambiental (rca),"Consulta indígena, Decisiones contradictorias, Principio preventivo, Sana crítica, Consideraciones de hecho y de derecho, Corporación Nacional de Desarrollo Indígena (CONADI), Comunidades indígenas, Convenio 169 de la OIT, Resolución de Calificación Ambiental (RCA), Sistema de Evaluación de Impacto Ambiental (SEIA), Consejo de Monumentos Nacionales (CMN), Recurso en contra hechos del proceso, Hechos establecidos por los jueces del fondo son inamovibles, Disconformidad con la valoración de la prueba, Reclamación del artículo 17 n° 6 de la ley 20.600, Delimitación del área de influencia del proyecto para medio humano, Sector industrial, Grupos humanos pertenecientes a los pueblos indígenas (ghppi), Impacto arqueológico, Doctrina de la desviación procesal","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADAS CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?tr8o
Rol: 97074-2021,Caratulado: SUPERINTENDENCIA DEL MEDIO AMBIENTE/RIQUELME,Fecha sentencia: 21-07-2022,Potestad sancionadora y fiscalizadora,Ingreso al sistema de evaluación de impacto ambiental (seia) establecido por superintendencia de medio ambiente (sma),"Superintendencia del medio ambiente (sma), Dirección de Obras Hidraulicas (DOH), Ingreso al Sistema de Evaluación de Impacto Ambiental (SEIA), Reclamación en contra de una resolución de la SMA, Tercer Tribunal Ambiental, Elusión del sistema de evaluación de impacto ambiental (seia), Ribera, Obras de protección de riberas, Obras de conservación, Defensa o alteración de un cuerpo o curso de aguas continentales","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZA CASACION EN EL FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?z8xc
Rol: 34697-2021,Caratulado: TAPIA AZOCAR CARLOS CON SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 12-07-2022,Potestad sancionadora y fiscalizadora,Multa,"Formulación de cargos, Potestad sancionadora, Modificación de proyecto, Superintendencia del medio ambiente (sma), Multa administrativa, Sanción de multa, Resolución de multa, Legalidad de multa, Determinación de las multas, Reclamación en contra de una resolución de la SMA, Segundo Tribunal Ambiental, Reclamación de multa administrativa, Residuos industriales líquidos, Elusión del sistema de evaluación de impacto ambiental (seia)","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?zvni
Rol: 127275-2020,Caratulado: COMPAÑIA MINERA NEVADA SPA CON SUPERINTENDENCIA DEL MEDIO AMBIENTE (A),Fecha sentencia: 12-07-2022,Potestad sancionadora y fiscalizadora,Multa,"Potestad sancionadora, Principio de juridicidad, Consideraciones de hecho y de derecho, Proporcionalidad de la sanción, Superintendencia del medio ambiente (sma), Quantum de la sanción, Sanción de multa, Finalidad de la sanción administrativa, Primer tribunal ambiental, Reclamo en contra de una resolución de la sma","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADAS CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?zwrl
Rol: 34697-2021,Caratulado: TAPIA AZOCAR CARLOS CON SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 12-07-2022,Potestad sancionadora y fiscalizadora,Multa,"Formulación de cargos, Potestad sancionadora, Principio de congruencia, Reglas de la lógica, Reglas de la sana crítica, Modificación de proyecto, Superintendencia del medio ambiente (sma), Máximas de la experiencia, Multa administrativa, Sanción de multa, Resolución de multa, Legalidad de multa, Determinación de las multas, Conocimientos científicamente afianzados, Reclamación en contra de una resolución de la SMA, Segundo Tribunal Ambiental, Reclamación de multa administrativa, Residuos industriales líquidos, Elusión del sistema de evaluación de impacto ambiental (seia)","Sala: TERCERA, CONSTITUCIONAL","Resultado recurso: ACOGIDA CASACIÓN FORMA, ANULADA SENTENCIA",Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?zvjs
Rol: 96002-2021,Caratulado: BIRKE/SUPERINTENDENCIA DEL MEDIO AMBIENTE,Fecha sentencia: 11-07-2022,Admisibilidad del recurso de casación en el fondo,Resoluciones susceptibles de casación en el fondo,"Acto trámite, Fiscalización, Procedimiento administrativo sancionador, Programa de cumplimiento, Admisibilidad del recurso de casación en el fondo, Admisibilidad del recurso de casación en la forma, Resoluciones susceptibles de recurso de casación en la forma, Denuncias, Resoluciones susceptibles de recurso de casación en el fondo, Proyecto hidroeléctrico, Superintendencia de medio ambiente (sma), Etapa de instrucción","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: INADMISIBLES RECURSOS DE CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?zv48
Rol: 4308-2021,Caratulado: COMPAÑIA CONTRACTUAL MINERA CANDELARIA CON SUPERINTENDENCIA DEL MEDIO AMBIENTE (A),Fecha sentencia: 20-06-2022,Potestad sancionadora y fiscalizadora,Multa,"Ius puniendi, Principio de legalidad, Principio de proporcionalidad, Principio de tipicidad, Debido proceso administrativo sancionador, Sanción de multa, Reclamación en contra de una resolución de la SMA, Revisión de la Resolución de calificación ambiental (RCA), Minera candelaria, Superintendencia de medio ambiente (sma)","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?c8ky
Rol: 27033-2019,Caratulado: GABRIELA SIMONETTI GREZ Y OTROS CON SERVICIO DE EVALUACION AMBIENTAL (A),Fecha sentencia: 08-06-2022,Sistema de Evaluación de impacto ambiental (SEIA),Declaración de impacto ambiental (dia),"Extra petita, Incompetencia del tribunal, Onus probandi o carga de la prueba, Ultra petita, Modificación de proyecto, Principio de eficacia, Principio de eficiencia, Presunción de legalidad de actos administrativos, Falta de fundamentación, Conculcación de las reglas de la sana crítica, Principio precautorio, Sistema de Evaluación de Impacto Ambiental (SEIA), Apertura procedimiento participación ciudadana, Deber de inexcusabilidad, Declaración de Impacto Ambiental (DIA), Estudio de impacto ambiental (EIA), Proyecto Incorporación de Tronadura como Método Complementario en la Extracción Mecánica de Material Estéril en Mina Invierno, Daño paleontológico, Falta de congruencia, Reclamación del artículo 17 n° 6 de la ley 20.600","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADAS CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN FORMA Y FONDO,https://juris.pjud.cl/busqueda/u?c8k1
Rol: 63341-2020,Caratulado: CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE S.A CON SUPERINTENDENCIA DEL MEDIO AMBIENTE (A),Fecha sentencia: 31-05-2022,Potestad sancionadora y fiscalizadora,Competencia superintendencia de medio ambiente (sma),"Capacidad económica, Control de legalidad, Potestad discrecional, Principio de proporcionalidad, Motivación de los actos administrativos, Reducción de multa, Potestad sancionatoria de la Administración, Potestad reglada, Centro de Tratamiento de Residuos Ecomaule, Relleno sanitario, Potestad sancionadora y fiscalizadora, Competencia superintendencia de medio ambiente (sma), Sentencia de reemplazo, Capacidad de pago, Ingreso por ventas, Clasificación de tamaño de empresas del sii, Tamaño económico de la empresa","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: SENTENCIA DE REEMPLAZO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?c4wq
Rol: 63341-2020,Caratulado: CENTRO DE TRATAMIENTO DE RESIDUOS ECOMAULE S.A CON SUPERINTENDENCIA DEL MEDIO AMBIENTE (A),Fecha sentencia: 31-05-2022,Potestad sancionadora y fiscalizadora,Competencia superintendencia de medio ambiente (sma),"Beneficio económico, Capacidad económica, Potestad discrecional, Principio de proporcionalidad, Ultra petita, Superintendencia del medio ambiente (sma), Aplicación de multa, Conculcación de las reglas de la sana crítica, Recalificación, Reducción de multa, Centro de Tratamiento de Residuos Ecomaule, Relleno sanitario, Potestad sancionadora y fiscalizadora, Competencia superintendencia de medio ambiente (sma), Capacidad de pago, Ingreso por ventas, Clasificación de tamaño de empresas del sii, Tribunal ambiental no puede determinar el contenido del acto anulado, Tamaño económico de la empresa","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZA CASACION EN EL FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?c4wr
Rol: 36972-2021,Caratulado: DÍAZ DE VALDÉS CON ANDES IRON SPA.,Fecha sentencia: 18-05-2022,Sistema de Evaluación de impacto ambiental (SEIA),Invalidación,"Legitimación activa, Derecho de información, Derecho de vivir en un medio ambiente libre de contaminación, Servicio de Evaluación Ambiental, Comité de Ministros, Proyecto Dominga, Reclamación en contra de una invalidación ambiental, Invalidación","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZADAS CASACIÓN FORMA Y FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?c7t3
Rol: 125528-2020,Caratulado: SOCIEDAD MINERA BIMAR CHILE LTDA. CON DIRECTOR EJECUTIVO DEL SERVICIO DE EVALUACIÓN AMBIENTAL (A),Fecha sentencia: 13-05-2022,Sistema de Evaluación de impacto ambiental (SEIA),Invalidación,"Caducidad, Calificación ambiental, Caducidad de Procedimiento invalidatorio, Caducidad de permiso, Potestad invalidatoria, Reclamo de Ilegalidad de actuación que revoca resolución de calificación ambiental, Resolución de Calificación Ambiental (RCA), Sistema de Evaluación de Impacto Ambiental (SEIA), Revocación de Resolución de Calificación Ambiental, Reclamación en contra de una invalidación ambiental, Discrepancia con los juicios de valor, Debidamente fundada, Invalidación","Sala: TERCERA, CONSTITUCIONAL",Resultado recurso: RECHAZA CASACION EN EL FONDO,Tipo recurso: (CIVIL) CASACIÓN AMBIENTAL,https://juris.pjud.cl/busqueda/u?c7xt
